,Clan,Generation,Sire,Name,Link,Childer
0,Caitiff,9th,unknown,Albin,https://whitewolf.fandom.com/wiki/Albin,
1,Caitiff,Unknown,Cecily Bain (Adoptive),Alejandra,https://whitewolf.fandom.com/wiki/Alejandra,
2,Caitiff,10th,Unknown,Amethyst,https://whitewolf.fandom.com/wiki/Amethyst,
3,Caitiff,7th,Wife of the Tiger and the Snake,Mukhtar Bey,https://whitewolf.fandom.com/wiki/Mukhtar_Bey,
4,Unknown[note 1],4th (effectively),,Nerissa Blackwater,https://whitewolf.fandom.com/wiki/Nerissa_Blackwater,
5,Caitiff,12th,Dimitri Caravello,J.W. Blue,https://whitewolf.fandom.com/wiki/J.W._Blue,
6,Caitiff,11 th,Unknown Soldier,Frankie Boudreaux,https://whitewolf.fandom.com/wiki/Frankie_Boudreaux,
7,Caitiff,12th,Unknown,Devin Boyce,https://whitewolf.fandom.com/wiki/Devin_Boyce,
8,Caitiff,12th,"""The Old Man""",Cecil,https://whitewolf.fandom.com/wiki/Cecil,
9,Caitiff,7th,Unknown,Jean-Marie Delacroix,https://whitewolf.fandom.com/wiki/Jean-Marie_Delacroix,
10,Caitiff,9th,Valerie,Dickie,https://whitewolf.fandom.com/wiki/Dickie,
11,Caitiff,7th,,Eryn,https://whitewolf.fandom.com/wiki/Eryn,
12,Caitiff,12th,Rolf,Darva Felispa,https://whitewolf.fandom.com/wiki/Darva_Felispa,
13,Caitiff (Salubri?),7th,Ducas,Elizabeth Forster,https://whitewolf.fandom.com/wiki/Elizabeth_Forster,
14,Caitiff,12th,,Bryce Garber,https://whitewolf.fandom.com/wiki/Bryce_Garber,
15,Caitiff,12th,Gordon Keaton,Priscilla Gibbs,https://whitewolf.fandom.com/wiki/Priscilla_Gibbs,
16,Caitiff,13th,Gary,Walker Grimes,https://whitewolf.fandom.com/wiki/Walker_Grimes,
17,Caitiff,9th,Balthazar,Jimmy Holcomb,https://whitewolf.fandom.com/wiki/Jimmy_Holcomb,
18,Caitiff,15th,Unknown,César Holfield,https://whitewolf.fandom.com/wiki/C%C3%A9sar_Holfield,
19,Caitiff,"['11th (through diablerie)', '13th (originally)']",Florent Dagenais,Benedict Hutter,https://whitewolf.fandom.com/wiki/Benedict_Hutter,
20,Unknown,13th,unknown (through Mass Embrace),Mary Johnson,https://whitewolf.fandom.com/wiki/Mary_Johnson,Richard Justice
21,,14th,Mary Johnson,Richard Justice,https://whitewolf.fandom.com/wiki/Richard_Justice,
22,Caitiff,"['12th (originally)', '10th (through diablerie)']",Theodore Dooley,Gordon Keaton,https://whitewolf.fandom.com/wiki/Gordon_Keaton,"['Francois Mamuwalde (1972)', 'Priscilla Gibbs (1973)']"
23,[],unknown; possibly 5th,Osiris (adoptive),Khetamon,https://whitewolf.fandom.com/wiki/Khetamon,
24,Caitiff,13th,Simon Danilenko,Oksana Koblenko,https://whitewolf.fandom.com/wiki/Oksana_Koblenko,
25,Caitiff,10th,Donny,Jasper Krevets,https://whitewolf.fandom.com/wiki/Jasper_Krevets,
26,Caitiff,13th,Unknown,Leah (VTM),https://whitewolf.fandom.com/wiki/Leah_(VTM),
27,Caitiff,10th,unknown,Tobias Leveler,https://whitewolf.fandom.com/wiki/Tobias_Leveler,
28,Caitiff,14th,Rolf Toten,Lily (VTMB),https://whitewolf.fandom.com/wiki/Lily_(VTMB),E
29,Caitiff (Toreador),11th,Torrence,Victoria Longwood,https://whitewolf.fandom.com/wiki/Victoria_Longwood,
30,Caitiff (Tremere origin),8th,Abraham DuSable,Maldavis,https://whitewolf.fandom.com/wiki/Maldavis,Derrick Stack
