,Clan,Generation,Sire,Childer,Name,Link
0,Gangrel,7th,Oderic,Qarakh,Aajav,https://whitewolf.fandom.com/wiki/Aajav
1,Gangrel or Ravnos,12th,,,Sidney Abel,https://whitewolf.fandom.com/wiki/Sidney_Abel
2,Gangrel,7th,Caius Tadius Lupus,,Aethelwulf,https://whitewolf.fandom.com/wiki/Aethelwulf
3,Gangrel,8th,Tautginas,,Aiste,https://whitewolf.fandom.com/wiki/Aiste
4,Gangrel / Akunanse,unknown likely 6th,unknown,Kamiri wa Itherero,Fakir Al Sidi,https://whitewolf.fandom.com/wiki/Fakir_Al_Sidi
5,Gangrel,7th,Abu Sham'al,Nazirah,Nadima al-Muqanna,https://whitewolf.fandom.com/wiki/Nadima_al-Muqanna
6,Gangrel antitribu,13th,Hartmann Strauss,,Jesús Alcalá,https://whitewolf.fandom.com/wiki/Jes%C3%BAs_Alcal%C3%A1
7,Gangrel,13th,William Luft,,Fergus Alexander,https://whitewolf.fandom.com/wiki/Fergus_Alexander
8,Gangrel,8th,,,Shara Allen,https://whitewolf.fandom.com/wiki/Shara_Allen
9,Gangrel,6th/7th[1],Brunhilde,,Karen Anatos,https://whitewolf.fandom.com/wiki/Karen_Anatos
10,Gangrel,possibly 8th or 9th,,,Andre the Manipulator,https://whitewolf.fandom.com/wiki/Andre_the_Manipulator
11,City Gangrel,7th,,Sébastien Goulet (1942),Marcus C. Andrews,https://whitewolf.fandom.com/wiki/Marcus_C._Andrews
12,Gangrel,Unknown,,,Anpu (WOD),https://whitewolf.fandom.com/wiki/Anpu_(WOD)
13,Gangrel,8th,Keegan,"['Natalie', 'Mariangel Huerta']",Anthius,https://whitewolf.fandom.com/wiki/Anthius
14,Gangrel,6th,,,Ariadne,https://whitewolf.fandom.com/wiki/Ariadne
15,Gangrel,6th,Pard,"['Mitru the Hunter', 'Jolanta', 'Morrow the Sage', 'Wulfrick']",Arnulf,https://whitewolf.fandom.com/wiki/Arnulf
16,Gangrel,10th,Unknown,Raoul King,Lord Ashton,https://whitewolf.fandom.com/wiki/Lord_Ashton
17,Gangrel,10th,,Duncan MacTavish (2005),Atlacoya,https://whitewolf.fandom.com/wiki/Atlacoya
18,Country Gangrel,12th,Unknown,,Mu'tazz Bechara,https://whitewolf.fandom.com/wiki/Mu%27tazz_Bechara
19,Gangrel,7th,"['unstated[1]', 'Aristotle de Laurent (adoptive)']","['Custos c. (1889)', 'Marie (1945)']",Cuthbert Beckett,https://whitewolf.fandom.com/wiki/Cuthbert_Beckett
20,Gangrel,8th,,,Bedelia (Gangrel),https://whitewolf.fandom.com/wiki/Bedelia_(Gangrel)
21,Gangrel,7th,Grendel,Roland,Beowulf,https://whitewolf.fandom.com/wiki/Beowulf
22,Gangrel,6th,Unknown; Presumably Shabaqo,six unnamed,Mbogo Biashara,https://whitewolf.fandom.com/wiki/Mbogo_Biashara
23,Gangrel,unknown,,"['Ragnar Nordstrom', 'Others unknown']",Blaidd,https://whitewolf.fandom.com/wiki/Blaidd
24,Gangrel,,,,Torvus Bloodbeard,https://whitewolf.fandom.com/wiki/Torvus_Bloodbeard
25,Gangrel,8th,,Gottfried (1092 AD),Rutold Bloodfist,https://whitewolf.fandom.com/wiki/Rutold_Bloodfist
26,Gangrel,unknown,Unknown,,Bodhmall,https://whitewolf.fandom.com/wiki/Bodhmall
27,Gangrel,Unknown,Unknown,,Bree,https://whitewolf.fandom.com/wiki/Bree
28,Gangrel,6th,unknown,Karen Anatos (1923),Brunhilde,https://whitewolf.fandom.com/wiki/Brunhilde
29,Gangrel,13th,Demian,,Bill Butler,https://whitewolf.fandom.com/wiki/Bill_Butler
30,Gangrel,10th,"""Him""",,Jason Caliburn,https://whitewolf.fandom.com/wiki/Jason_Caliburn
31,Gangrel,10th,Mark Decker,,Julia Calvin,https://whitewolf.fandom.com/wiki/Julia_Calvin
32,City Gangrel,9th,Sébastien Goulet,,Alex Camille,https://whitewolf.fandom.com/wiki/Alex_Camille
33,City Gangrel,11th,,,Carlos (VTM),https://whitewolf.fandom.com/wiki/Carlos_(VTM)
34,City Gangrel,11th,Rudolph Scruggs,,Scarlet Carson O'Toole,https://whitewolf.fandom.com/wiki/Scarlet_Carson_O%27Toole
35,Gangrel,11th,,Lillian (20th century),Adam Carter,https://whitewolf.fandom.com/wiki/Adam_Carter
36,Gangrel,,Stevie Ray,,Cash,https://whitewolf.fandom.com/wiki/Cash
37,Gangrel,5th,Dobrul the Brave,Jelme the Damned,Chinkhai the Fierce,https://whitewolf.fandom.com/wiki/Chinkhai_the_Fierce
38,Gangrel,11th,Gunnar,,Calvin Cleaver,https://whitewolf.fandom.com/wiki/Calvin_Cleaver
39,Gangrel,,,,Delsin Coates,https://whitewolf.fandom.com/wiki/Delsin_Coates
40,Gangrel,unknown,,,Colla,https://whitewolf.fandom.com/wiki/Colla
41,Gangrel,possibly 9th[1],,,Crow (Gangrel),https://whitewolf.fandom.com/wiki/Crow_(Gangrel)
42,Gangrel,12th,,,Bo Cunningham,https://whitewolf.fandom.com/wiki/Bo_Cunningham
43,Gangrel,8th,Cuthbert Beckett,René,Custos (Gangrel),https://whitewolf.fandom.com/wiki/Custos_(Gangrel)
44,Gangrel,13th,Jia Jiayi,,Dai Qingzhao,https://whitewolf.fandom.com/wiki/Dai_Qingzhao
45,Gangrel,,,,Darnell,https://whitewolf.fandom.com/wiki/Darnell
46,Gangrel,11th,Nico Fischer,,Rosa De Lorenzo,https://whitewolf.fandom.com/wiki/Rosa_De_Lorenzo
47,Gangrel,10th,Megan of Bristol,,Marc de Brabant,https://whitewolf.fandom.com/wiki/Marc_de_Brabant
48,Gangrel,6th,unknown,,Battista Decamerone,https://whitewolf.fandom.com/wiki/Battista_Decamerone
49,Gangrel,9th,Lucian,"['Derek Hillen (1806)', 'Kristof Oldenbourg (Unknown, between 1806 and 1923)', 'Julia Calvin (1989)', 'Honor Mercer (2015)']",Mark Decker,https://whitewolf.fandom.com/wiki/Mark_Decker
50,Gangrel,8th,Unknown,,Dien,https://whitewolf.fandom.com/wiki/Dien
51,Gangrel,12th,,Malcolm (1990s),Dietric,https://whitewolf.fandom.com/wiki/Dietric
52,Gangrel,12th,,Lewis Sheng (2012),Diligence,https://whitewolf.fandom.com/wiki/Diligence
53,Gangrel,6th,Unknown,,Dimitra (WOD),https://whitewolf.fandom.com/wiki/Dimitra_(WOD)
54,Gangrel,7th,Unknown,,Danielle Diron,https://whitewolf.fandom.com/wiki/Danielle_Diron
55,Gangrel/Anda,4th,Ennoia (Allegedly),[],Dobrul the Brave,https://whitewolf.fandom.com/wiki/Dobrul_the_Brave
56,Gangrel antitribu,unknown,Unknown,,Louis Drapeau,https://whitewolf.fandom.com/wiki/Louis_Drapeau
57,Gangrel,Possibly 4th,Unknown (Likely Ennoia),Numerous,Egothha,https://whitewolf.fandom.com/wiki/Egothha
58,Gangrel,5th,unknown,"['Inyanga (483)', 'several others']",The Egyptian,https://whitewolf.fandom.com/wiki/The_Egyptian
59,Gangrel,11th (presumed),,,Ekene,https://whitewolf.fandom.com/wiki/Ekene
60,Gangrel,5th,,,Elijah,https://whitewolf.fandom.com/wiki/Elijah
61,Gangrel,12th,Ramona,,Ellenore,https://whitewolf.fandom.com/wiki/Ellenore
62,Gangrel,unknown,,,Ellifu,https://whitewolf.fandom.com/wiki/Ellifu
63,Thin-blooded (Gangrel origin),14th,Unknown Gangrel,,Gabrielle Ellis,https://whitewolf.fandom.com/wiki/Gabrielle_Ellis
64,Gangrel,4th,Ennoia,,Enkidu,https://whitewolf.fandom.com/wiki/Enkidu
65,Gangrel,3rd,"['Lilith', 'Enoch', 'Dracian']","['Enkidu', 'Ereshkigal (possibly)', 'Gilgamesh (possibly)', 'Hukros', 'Kurru', 'Odin', 'Rufus', 'Vola the Red', 'The Slumbering Giant', 'Matasuntha (Likely)', 'Dobrul the Brave (possibly)']",Ennoia,https://whitewolf.fandom.com/wiki/Ennoia
66,Gangrel,4th,Ennoia,Possibly numerous,Ereshkigal (VTM),https://whitewolf.fandom.com/wiki/Ereshkigal_(VTM)
67,Gangrel,unknown,,,Erik (Gangrel),https://whitewolf.fandom.com/wiki/Erik_(Gangrel)
68,Gangrel,unknown,,,Erik Longtooth,https://whitewolf.fandom.com/wiki/Erik_Longtooth
69,Gangrel,unknown,Signe Eriksdotter,,Erik the Wolf,https://whitewolf.fandom.com/wiki/Erik_the_Wolf
70,Gangrel,unknown,,Erik the Wolf,Signe Eriksdotter,https://whitewolf.fandom.com/wiki/Signe_Eriksdotter
71,Gangrel,possibly 13th,,,Ruslan Fedorenko,https://whitewolf.fandom.com/wiki/Ruslan_Fedorenko
72,Gangrel,6th,unknown,Likely several,Fenton,https://whitewolf.fandom.com/wiki/Fenton
73,Gangrel,6th,Unknown,Thomas Feroux (1076),Marie Feroux,https://whitewolf.fandom.com/wiki/Marie_Feroux
74,Gangrel,7th,Marie Feroux,Anna Sgorina (1109 CE),Thomas Feroux,https://whitewolf.fandom.com/wiki/Thomas_Feroux
75,Gangrel antitribu,7th,Inyanga,Rosa Hernandez (1974),Doyle Fincher,https://whitewolf.fandom.com/wiki/Doyle_Fincher
