,Clan,Generation,Sire,Childer,Name,Link
0,Nosferatu (Nictuku),4th,Absimiliard,Likely several,Abraxes,https://whitewolf.fandom.com/wiki/Abraxes
1,"""The Hidden Clan""",3rd,Zillah,"['Abraxes', 'Azazel', 'Baba Yaga', 'Echidna', 'Gayomart', 'Gorgo', 'Illuyankas', 'The Matriarch', 'Melachoate', 'Nuckalavee', 'Vasilisa', 'Yima']",Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard
2,Nosferatu,6th,,Adze (1822),Adahy,https://whitewolf.fandom.com/wiki/Adahy
3,Nosferatu,7th,Adahy,,Adze,https://whitewolf.fandom.com/wiki/Adze
4,Nosferatu antitribu,,,,Aeron (VTM),https://whitewolf.fandom.com/wiki/Aeron_(VTM)
5,Nosferatu,11 (Speculation),,,Agrippina,https://whitewolf.fandom.com/wiki/Agrippina
6,Nosferatu,"['7th (originally)', '6th (through diablerie)']",Bhallaire,,Aine,https://whitewolf.fandom.com/wiki/Aine
7,Nosferatu,8th,Umm al-Mawt,Petra,Shagaret al-Durr,https://whitewolf.fandom.com/wiki/Shagaret_al-Durr
8,Nosferatu,7th,Unknown,Shagaret al-Durr,Umm al-Mawt,https://whitewolf.fandom.com/wiki/Umm_al-Mawt
9,Nosferatu,6th,Tarique,Ibn Ja'far (1193 CE),Ja'far al-Medinat,https://whitewolf.fandom.com/wiki/Ja%27far_al-Medinat
10,Nosferatu,6th,Alexius,"['Edith Beaubien (1895)', 'Jurgis Rudkus (1910)', 'Peter Walenski (1950)', 'Tammy Walenski (1950)', 'Elzbieta Jurofsky (1989)']",Khalid al-Rashid,https://whitewolf.fandom.com/wiki/Khalid_al-Rashid
11,Nosferatu,8th,Jacob Durgal,,Alberich,https://whitewolf.fandom.com/wiki/Alberich
12,Nosferatu,5th,Matriarch (Possibly),"['Khalid al-Rashid (1191 CE)', 'Strohmann (1283 CE)']",Alexius,https://whitewolf.fandom.com/wiki/Alexius
13,Nosferatu,7th (Speculation),,,Amadeo,https://whitewolf.fandom.com/wiki/Amadeo
14,Nosferatu,10th,,Wolfgang (1969),Amelia (Nosferatu),https://whitewolf.fandom.com/wiki/Amelia_(Nosferatu)
15,Nosferatu,Unknown,,,Anachriss,https://whitewolf.fandom.com/wiki/Anachriss
16,Nosferatu,possibly 7th to 9th,,,Oskar Anasov,https://whitewolf.fandom.com/wiki/Oskar_Anasov
17,Nosferatu,8th,Parovich,,Anastasia (Nosferatu),https://whitewolf.fandom.com/wiki/Anastasia_(Nosferatu)
18,Nosferatu (Nictuku),5th,Melachoate,Rasalon,Androvikus,https://whitewolf.fandom.com/wiki/Androvikus
19,Nosferatu,5th,The Matriarch,"['Ahjan Shakkar', 'The Pawnbroker (398 CE)']",Angiwar,https://whitewolf.fandom.com/wiki/Angiwar
20,Nosferatu,8th,,Alonzo Guillen (1832),Don Armando de Madrid,https://whitewolf.fandom.com/wiki/Don_Armando_de_Madrid
21,Nosferatu,9th,,,Arnold (Nosferatu),https://whitewolf.fandom.com/wiki/Arnold_(Nosferatu)
22,Nosferatu,8th,,"['Calebros (1780)', 'Emmett']",Augustin (New York),https://whitewolf.fandom.com/wiki/Augustin_(New_York)
23,Nosferatu,8th,Rabbat,Annette Moser,Augustin (Vienna),https://whitewolf.fandom.com/wiki/Augustin_(Vienna)
24,Nosferatu,9th,Lawrence Meeks,,Avery (Nosferatu),https://whitewolf.fandom.com/wiki/Avery_(Nosferatu)
25,Nosferatu,,,,Willem Axel,https://whitewolf.fandom.com/wiki/Willem_Axel
26,Nosferatu (Nictuku),4th,Absimiliard,Likely several,Azazel (VTM),https://whitewolf.fandom.com/wiki/Azazel_(VTM)
27,Nosferatu (Nictuku in V20[1]),4th,Nosferatu Antediluvian,"['Gutka', 'Melitta Wallenberg', 'Siamko (rumored)', 'Poison Tooth', 'Sergei Voshkov']",Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga
28,Nosferatu,?,Unknown,,Barabus,https://whitewolf.fandom.com/wiki/Barabus
29,Nosferatu antitribu,11th,Don Carlos,Blister,Aaron Bathurst,https://whitewolf.fandom.com/wiki/Aaron_Bathurst
30,Nosferatu,7th,Khalid,,Edith Beaubien,https://whitewolf.fandom.com/wiki/Edith_Beaubien
31,Nosferatu,possibly 9th[1],,,Beetleman,https://whitewolf.fandom.com/wiki/Beetleman
32,Nosferatu/Niktuku,"['Original Unknown', '6th (Diablerie)']",,,Belato,https://whitewolf.fandom.com/wiki/Belato
33,Nosferatu,6th,Unknown,Aine,Bhallaire,https://whitewolf.fandom.com/wiki/Bhallaire
34,Nosferatu,13th,Galileo,,Orlando Bianchi,https://whitewolf.fandom.com/wiki/Orlando_Bianchi
35,Nosferatu antitribu,12th,Aaron Bathurst,,Blister,https://whitewolf.fandom.com/wiki/Blister
36,Nosferatu,8th,Virginia,"['Elucid', 'Poe']",Nathaniel Bordruff,https://whitewolf.fandom.com/wiki/Nathaniel_Bordruff
37,Nosferatu,[],Unknown,Parovich (1467),Boronisk,https://whitewolf.fandom.com/wiki/Boronisk
38,Nosferatu,,,,Michel Bouchard,https://whitewolf.fandom.com/wiki/Michel_Bouchard
39,Nosferatu,Likely 12th or 13th,Glassjaw,,Brawn,https://whitewolf.fandom.com/wiki/Brawn
40,Nosferatu Ghoul,,,,Soren Brogaard,https://whitewolf.fandom.com/wiki/Soren_Brogaard
41,Nosferatu,7th,Elline the Husk,"['Jakob', 'Holger (ghoul)', 'Several others']",Belinde Buch,https://whitewolf.fandom.com/wiki/Belinde_Buch
42,Nosferatu,,,,Bufo,https://whitewolf.fandom.com/wiki/Bufo
43,Nosferatu,7th,,Clive Cooper (1884),John Bullock,https://whitewolf.fandom.com/wiki/John_Bullock
44,Nosferatu,possibly 8th or 9th,,,Lenny Burkhead,https://whitewolf.fandom.com/wiki/Lenny_Burkhead
45,Nosferatu,,,,Caleb,https://whitewolf.fandom.com/wiki/Caleb
46,Nosferatu,9th,Augustin,Kaius Leto (2000),Calebros,https://whitewolf.fandom.com/wiki/Calebros
47,Nosferatu,8th (possibly by diablerie),Tommy,"['Wauneka (2005)', 'Salt (2017)']",Cedrick Calhoun,https://whitewolf.fandom.com/wiki/Cedrick_Calhoun
