,Clan,Generation,Sire,Name,Link,Childer
0,Salubri,5th,Samiel,Aariel,https://whitewolf.fandom.com/wiki/Aariel,
1,Salubri,possibly 7th or 8th,,Abaddon (Salubri),https://whitewolf.fandom.com/wiki/Abaddon_(Salubri),
2,Salubri,7th,Orpheus,Achmet,https://whitewolf.fandom.com/wiki/Achmet,Aisha bint Wahiba (1024)
3,Salubri antitribu,"['9th (originally)', '8th (through diablerie)', '7th (through a Ritual)']",Unknown,Adonai,https://whitewolf.fandom.com/wiki/Adonai,Many unnamed
4,Salubri,5th,Rayzeel,Agathodaimon,https://whitewolf.fandom.com/wiki/Agathodaimon,Lille
5,Salubri (Warrior Caste),unknown,Unknown,Ahab,https://whitewolf.fandom.com/wiki/Ahab,
6,Salubri,4th,Saulot,Akhraziel,https://whitewolf.fandom.com/wiki/Akhraziel,Nuriel
7,Salubri,8th,Gabriel,Althea of Phillipus,https://whitewolf.fandom.com/wiki/Althea_of_Phillipus,Yael
8,Salubri,possibly 8th or 9th,,Aniel,https://whitewolf.fandom.com/wiki/Aniel,
9,Salubri,4th,Saulot,Nahum ben Enosh,https://whitewolf.fandom.com/wiki/Nahum_ben_Enosh,
10,Salubri,8th,Achmet,Aisha bint Wahiba,https://whitewolf.fandom.com/wiki/Aisha_bint_Wahiba,
11,Salubri,10th,,Dalia Nakache,https://whitewolf.fandom.com/wiki/Dalia_Nakache,
12,Salubri,possibly 12th,,Dominica,https://whitewolf.fandom.com/wiki/Dominica,
13,Salubri (Warrior Caste),5th,Samiel,Qawiyya el-Ghaduba,https://whitewolf.fandom.com/wiki/Qawiyya_el-Ghaduba,
14,Salubri (Warrior Caste),5th,Samiel,Ezrael,https://whitewolf.fandom.com/wiki/Ezrael,"['Rothriel', 'Mahtiel']"
15,Salubri (Warrior Caste),5th,Samiel,Gabriel (fifth generation Salubri),https://whitewolf.fandom.com/wiki/Gabriel_(fifth_generation_Salubri),one or more
16,Salubri,7th,Hillel,Gabriel (seventh generation Salubri),https://whitewolf.fandom.com/wiki/Gabriel_(seventh_generation_Salubri),Althea of Phillipus
17,Salubri,6th,Simeon,Generys,https://whitewolf.fandom.com/wiki/Generys,Matthias of Bath
18,Salubri,6th,Ithuriel,Hillel,https://whitewolf.fandom.com/wiki/Hillel,Gabriel
19,Salubri,4th,Saulot,Hrorsh,https://whitewolf.fandom.com/wiki/Hrorsh,[]
20,Salubri,possibly 8th or 9th[1],,Ilonka,https://whitewolf.fandom.com/wiki/Ilonka,
21,Salubri (Warrior Caste),5th,Samiel,Ithuriel,https://whitewolf.fandom.com/wiki/Ithuriel,Hillel
22,Salubri,6th,Rebekah,Joachim,https://whitewolf.fandom.com/wiki/Joachim,
23,Salubri antitribu,11th,Thomas the Angry,Kervos,https://whitewolf.fandom.com/wiki/Kervos,
24,Salubri,6th,Agathodaimon,Lille,https://whitewolf.fandom.com/wiki/Lille,Matthias
25,Salubri (Warrior Caste),6th,Ezrael,Mahtiel,https://whitewolf.fandom.com/wiki/Mahtiel,
26,Salubri,possibly 8th or 9th[1],,Malachi,https://whitewolf.fandom.com/wiki/Malachi,
27,Salubri,7th,Lille,Matthias,https://whitewolf.fandom.com/wiki/Matthias,
28,Salubri,7th,Generys,Matthias of Bath,https://whitewolf.fandom.com/wiki/Matthias_of_Bath,
29,Salubri,4th,Saulot,Mokur,https://whitewolf.fandom.com/wiki/Mokur,Many
30,Salubri (Warrior Caste),5th,Akhraziel,Nuriel (Salubri),https://whitewolf.fandom.com/wiki/Nuriel_(Salubri),
31,Salubri,,,Opikun,https://whitewolf.fandom.com/wiki/Opikun,
32,Salubri,6th,,Orpheus (Salubri),https://whitewolf.fandom.com/wiki/Orpheus_(Salubri),Achmet
33,Salubri,4th,Saulot,Rayzeel,https://whitewolf.fandom.com/wiki/Rayzeel,Agathodaimon
34,Salubri,5th,Unknown,Rebekah (Salubri),https://whitewolf.fandom.com/wiki/Rebekah_(Salubri),Joachim
35,Salubri,unknown,,Red Solomon,https://whitewolf.fandom.com/wiki/Red_Solomon,Serenna (1903)
36,Salubri (Warrior Caste),6th,Ezrael,Rothriel,https://whitewolf.fandom.com/wiki/Rothriel,
37,Salubri,possibly 8th or 9th[1],,Sakhar,https://whitewolf.fandom.com/wiki/Sakhar,
38,Salubri,4th,Saulot,Samiel,https://whitewolf.fandom.com/wiki/Samiel,"['Ithuriel', 'Gabriel', 'Aariel', 'Uriel', 'Ezrael', ""Za'aphiel"", 'Qawiyya el-Ghaduba']"
39,Salubri,3rd,Enoch or Zillah (presumed),Saulot,https://whitewolf.fandom.com/wiki/Saulot,"['Rayzeel [2]', 'Akhraziel[3]', 'Samiel [4]', 'Hrorsh [4]', 'Yavok [5]', 'Seker [6]', 'Zao-Zei [7]', 'Zao-Xue [7]', 'Nahum ben Enosh [8]', 'Mokur', 'Nergal [9]', 'Moloch [9]', 'The Unnamed [9]']"
40,Salubri/Baali,4th,Saulot,Seker,https://whitewolf.fandom.com/wiki/Seker,
41,Salubri,possibly 7th or 8th,,Seraphina,https://whitewolf.fandom.com/wiki/Seraphina,
42,Salubri,unknown,Red Solomon,Serenna,https://whitewolf.fandom.com/wiki/Serenna,
43,Salubri antitribu,unknown,Unknown',Silas (Salubri),https://whitewolf.fandom.com/wiki/Silas_(Salubri),
44,Salubri,5th,Hrorsh,Simeon,https://whitewolf.fandom.com/wiki/Simeon,Generys
45,Salubri antitribu,10th,,Thomas the Angry,https://whitewolf.fandom.com/wiki/Thomas_the_Angry,Kervos
46,Salubri,5th,Samiel,Uriel (Salubri),https://whitewolf.fandom.com/wiki/Uriel_(Salubri),
47,Salubri antitribu,unknown,,Rigoberto Vindel,https://whitewolf.fandom.com/wiki/Rigoberto_Vindel,
48,Nosferatu or Salubri,12th,,Carol Winfield,https://whitewolf.fandom.com/wiki/Carol_Winfield,
49,Salubri,9th,Althea of Phillipus,Yael,https://whitewolf.fandom.com/wiki/Yael,
50,Salubri,4th,Saulot,Yavok,https://whitewolf.fandom.com/wiki/Yavok,Javaniel
51,Salubri,5th,Samiel,Za'aphiel,https://whitewolf.fandom.com/wiki/Za%27aphiel,
