,Clan,Generation,Sire,Name,Link,Childer
0,Toreador,10th,Regina Blake,Rose Abawi,https://whitewolf.fandom.com/wiki/Rose_Abawi,
1,Toreador,Unknown (At least 9th in the V5 timeline),,Isaac Abrams,https://whitewolf.fandom.com/wiki/Isaac_Abrams,"['Ash Rivers', 'Velvet Velour (adopted)']"
2,Toreador,unknown,,Adanaya,https://whitewolf.fandom.com/wiki/Adanaya,
3,Toreador,8th,,Adrian of Canterbury,https://whitewolf.fandom.com/wiki/Adrian_of_Canterbury,
4,Toreador,9 (Speculation),,Adrianne,https://whitewolf.fandom.com/wiki/Adrianne,
5,Toreador,8th,,Aelfred (Toreador),https://whitewolf.fandom.com/wiki/Aelfred_(Toreador),
6,Toreador,9th,Nasr Ramanathan,Qadir al-Asmai,https://whitewolf.fandom.com/wiki/Qadir_al-Asmai,
7,Toreador,4 (Speculation),,Alexandra,https://whitewolf.fandom.com/wiki/Alexandra,
8,Toreador (Abstracts),8th,Modius,Allicia,https://whitewolf.fandom.com/wiki/Allicia,
9,Toreador,Likely 11th or 12th,,Amadeus,https://whitewolf.fandom.com/wiki/Amadeus,Kiếm
10,Toreador,4th,Arikel,Amarantha,https://whitewolf.fandom.com/wiki/Amarantha,Several/Many
11,Toreador,4th,Toreador Antediluvian,Amphion,https://whitewolf.fandom.com/wiki/Amphion,Menippus
12,Toreador,,,Andrea,https://whitewolf.fandom.com/wiki/Andrea,
13,Toreador,6 (Speculation),,Andreas (Toreador),https://whitewolf.fandom.com/wiki/Andreas_(Toreador),
14,Toreador,12th,Daphne,Andrew (Dark Alliance: Vancouver),https://whitewolf.fandom.com/wiki/Andrew_(Dark_Alliance:_Vancouver),
15,Toreador,5th,,Andrew the Angel,https://whitewolf.fandom.com/wiki/Andrew_the_Angel,
16,Toreador,5th,Michael the Patriarch,Anthemios of Thralles,https://whitewolf.fandom.com/wiki/Anthemios_of_Thralles,
17,Toreador,4th,Arikel,Apollo (VTM),https://whitewolf.fandom.com/wiki/Apollo_(VTM),[]
18,Toreador,7th,Oliver,Arianne,https://whitewolf.fandom.com/wiki/Arianne,
19,Toreador,10th,Charlotte Hansard,Thomas Arturo,https://whitewolf.fandom.com/wiki/Thomas_Arturo,
20,Toreador,12th,Reiner Tischler,Latebra Uberto Ascheri,https://whitewolf.fandom.com/wiki/Latebra_Uberto_Ascheri,
21,Toreador,unknown,Smilla Grimsson,Ragnar Asgrimsson,https://whitewolf.fandom.com/wiki/Ragnar_Asgrimsson,
22,Toreador,8th (Disputed),Maximillian,Victoria Ash,https://whitewolf.fandom.com/wiki/Victoria_Ash,"['Evan', 'Regina Blake (1888)', 'Noel', 'Cedric (ghoul)']"
23,Toreador,12th,Zitkála-Šá,Journey Atkins,https://whitewolf.fandom.com/wiki/Journey_Atkins,
24,Toreador,8th,Esclarmonde la Noire,Aurore,https://whitewolf.fandom.com/wiki/Aurore,Aimeric de Cabaret (1194 CE)
25,Toreador,7th,Annabelle Triabell,Sophia Ayes,https://whitewolf.fandom.com/wiki/Sophia_Ayes,Teri (pre-1991)
26,Toreador,possibly low,,Aisha az-Zahra,https://whitewolf.fandom.com/wiki/Aisha_az-Zahra,
27,Toreador Nephilim,11th,Lina Deneuve,Baptiste,https://whitewolf.fandom.com/wiki/Baptiste,
28,Toreador,6th,Rafael de Corazón,Eric Baring-Gould,https://whitewolf.fandom.com/wiki/Eric_Baring-Gould,
29,Toreador,unknown,,Barnes,https://whitewolf.fandom.com/wiki/Barnes,
30,Toreador,6th,Masser,Barqat,https://whitewolf.fandom.com/wiki/Barqat,
31,Toreador,10th,Sondra,Barth,https://whitewolf.fandom.com/wiki/Barth,
32,Toreador,5th,Michael,Paul Bathalos,https://whitewolf.fandom.com/wiki/Paul_Bathalos,Likely numerous
33,Toreador,13th,Edge,Stephanie Bayliss,https://whitewolf.fandom.com/wiki/Stephanie_Bayliss,
34,Toreador,6th,unknown,Beatrix,https://whitewolf.fandom.com/wiki/Beatrix,
35,Toreador,Unknown,Lucille,Kirsten Bellamy,https://whitewolf.fandom.com/wiki/Kirsten_Bellamy,
36,Toreador,unknown,,Simon ben-Jacob,https://whitewolf.fandom.com/wiki/Simon_ben-Jacob,
37,Toreador,9th,Victoria Ash,Regina Blake,https://whitewolf.fandom.com/wiki/Regina_Blake,Rose Abawi
38,Toreador,unknown,,Blanca,https://whitewolf.fandom.com/wiki/Blanca,Joseph (ghoul)
39,Toreador,11th,Sir Henry Johnson,Edith Blumenau,https://whitewolf.fandom.com/wiki/Edith_Blumenau,
40,Toreador,10th,Unkown,Mascha Blumenfeld,https://whitewolf.fandom.com/wiki/Mascha_Blumenfeld,
41,Toreador,12th,Robert S. Ziegler,April Bosley,https://whitewolf.fandom.com/wiki/April_Bosley,
42,Toreador,possibly 9th,,Anne-Marie Bourgeois,https://whitewolf.fandom.com/wiki/Anne-Marie_Bourgeois,
43,Toreador,Unknown,,Lenore Braundice,https://whitewolf.fandom.com/wiki/Lenore_Braundice,
44,Toreador,10th,,Burton Brooks,https://whitewolf.fandom.com/wiki/Burton_Brooks,
45,Toreador,6th,François Villon,Calabris,https://whitewolf.fandom.com/wiki/Calabris,Rati (1725)
46,Toreador,8th,,Pauline Calais,https://whitewolf.fandom.com/wiki/Pauline_Calais,
47,Toreador,5th,Apollo,Calida,https://whitewolf.fandom.com/wiki/Calida,
48,Toreador,4th,Arikel,Callisti y Castillo,https://whitewolf.fandom.com/wiki/Callisti_y_Castillo,"['Rafael de Corazón (1182 CE)', 'Alexandria']"
49,Toreador,10th,Solomon Greene,Miriam Caravaggio,https://whitewolf.fandom.com/wiki/Miriam_Caravaggio,
50,Toreador antitribu,7th,Malabranca,Venere Carboni,https://whitewolf.fandom.com/wiki/Venere_Carboni,
51,Toreador,13th,,Carlena,https://whitewolf.fandom.com/wiki/Carlena,
52,Toreador,,,Don Carlos,https://whitewolf.fandom.com/wiki/Don_Carlos,
53,Toreador,8th,Nicolò Foscarini,Jeremiah Casaubon,https://whitewolf.fandom.com/wiki/Jeremiah_Casaubon,
54,Toreador,unknown,,Cerdic,https://whitewolf.fandom.com/wiki/Cerdic,
55,Toreador,4th,Toreador Antediluvian,Ceri,https://whitewolf.fandom.com/wiki/Ceri,Likely several
56,Toreador,6th,Salianna,Charles of Poitiers,https://whitewolf.fandom.com/wiki/Charles_of_Poitiers,"[""Melusine d'Anjou (865 CE)"", 'Isouda de Blaise (1069 CE)']"
57,Toreador,9th,Phillipe L'Huiller,Keneth Chriswell,https://whitewolf.fandom.com/wiki/Keneth_Chriswell,Carmelita Neillson
58,Toreador,10th,Isabella Bianchi,Lyle Mercer Coch III,https://whitewolf.fandom.com/wiki/Lyle_Mercer_Coch_III,
59,Toreador antitribu,10th,,Creamy Jade,https://whitewolf.fandom.com/wiki/Creamy_Jade,"['Tears (1982)', 'Justine Chen (1999)']"
60,Toreador,7th,Charles of Poitiers,Melusine d'Anjou,https://whitewolf.fandom.com/wiki/Melusine_d%27Anjou,
