,Clan,Generation,Sire,Childer,Name,Link
0,Tremere,"['5th (originally)', '4th (through diablerie)']",Meerlinda,Several,Abetorius,https://whitewolf.fandom.com/wiki/Abetorius
1,Tremere,6th,Unknown,Hannah,Abigail,https://whitewolf.fandom.com/wiki/Abigail
2,Tremere,11th,Aisling Sturbridge,,Agathon,https://whitewolf.fandom.com/wiki/Agathon
3,Tremere antitribu,10th,Unknown,,Alejandro Aguirre,https://whitewolf.fandom.com/wiki/Alejandro_Aguirre
4,Tremere Gargoyle,,,,Alabástrom,https://whitewolf.fandom.com/wiki/Alab%C3%A1strom
5,Tremere,,,Deverra,Alferic,https://whitewolf.fandom.com/wiki/Alferic
6,Tremere,11th,,Almiro Suarez (1991),Ramon Alvaro,https://whitewolf.fandom.com/wiki/Ramon_Alvaro
7,Tremere,unknown,,,Alys,https://whitewolf.fandom.com/wiki/Alys
8,Tremere,8th,Unknown,"['Daphne (first Childe)', 'Valois Sang']",Annabelle,https://whitewolf.fandom.com/wiki/Annabelle
9,Tremere,5th,Meerlinda,,Anton Wellig,https://whitewolf.fandom.com/wiki/Anton_Wellig
10,Tremere,6th,Stromberg,"['Erichtho (1897)', 'Abraham DuSable (1943)']",Nicolai Antonescu,https://whitewolf.fandom.com/wiki/Nicolai_Antonescu
11,Tremere (antitribu),,,,Ayelea,https://whitewolf.fandom.com/wiki/Ayelea
12,Tremere,possibly 8th or 9th,,,Ayelech,https://whitewolf.fandom.com/wiki/Ayelech
13,Tremere,7th,Elaine de Calinot,Emma Blake,Edward Bainbridge,https://whitewolf.fandom.com/wiki/Edward_Bainbridge
14,Tremere,,Unknown,,Baladin,https://whitewolf.fandom.com/wiki/Baladin
15,Tremere,13th,Olivia Fairchild,,Clarence Bartleby,https://whitewolf.fandom.com/wiki/Clarence_Bartleby
16,Tremere,unknown,,,Benedict (Tremere),https://whitewolf.fandom.com/wiki/Benedict_(Tremere)
17,Tremere,6th,LeDuc,Thomas de Cherbourg,Maître Benoît,https://whitewolf.fandom.com/wiki/Ma%C3%AEtre_Beno%C3%AEt
18,Tremere,5th (Likely through diablerie),Etrius,,Bitiurges,https://whitewolf.fandom.com/wiki/Bitiurges
19,Tremere,8th,Edward Bainbridge,,Emma Blake,https://whitewolf.fandom.com/wiki/Emma_Blake
20,Tremere,,,,Mato Blomquist,https://whitewolf.fandom.com/wiki/Mato_Blomquist
21,Tremere,7th,,Carna (1435),Bourdana,https://whitewolf.fandom.com/wiki/Bourdana
22,Tremere,possibly 8th or 9th,,,Lloyd Brooks,https://whitewolf.fandom.com/wiki/Lloyd_Brooks
23,Tremere,11th,Giulia Romano,,Dante Bruneri,https://whitewolf.fandom.com/wiki/Dante_Bruneri
24,Tremere,7th,Astio Giavetti,"['Nigel Porter', ""Marie d'Richet""]",Antonio Calbullarshi,https://whitewolf.fandom.com/wiki/Antonio_Calbullarshi
25,Tremere,[],None (Created through ritual),Several/numerous,Calderon,https://whitewolf.fandom.com/wiki/Calderon
26,Tremere,6th,Elaine de Calinot (possibly),,Noelle Cameron,https://whitewolf.fandom.com/wiki/Noelle_Cameron
27,Tremere,10th,Frondator,,Arden Canty,https://whitewolf.fandom.com/wiki/Arden_Canty
28,Tremere,8th,Unknown,,Ian Carfax,https://whitewolf.fandom.com/wiki/Ian_Carfax
29,Tremere antitribu,unknown,,,Carmen,https://whitewolf.fandom.com/wiki/Carmen
30,Tremere,8th,Bourdana,Tessa Greene,Carna,https://whitewolf.fandom.com/wiki/Carna
31,Tremere,6th,Unknown,Andre Mallotte (1405),Casmir,https://whitewolf.fandom.com/wiki/Casmir
32,Tremere,11th,,The Courier (player dependent),Invidia Caul,https://whitewolf.fandom.com/wiki/Invidia_Caul
33,Tremere,6th,Etrius,"[""Augustin d'Erlette"", 'Ardan Lane (1107)']",Celestyn,https://whitewolf.fandom.com/wiki/Celestyn
34,Tremere,12th,Unknown,,Monica Chang,https://whitewolf.fandom.com/wiki/Monica_Chang
35,Tremere,unknown,,,Nicholas Chang,https://whitewolf.fandom.com/wiki/Nicholas_Chang
36,Tremere,,,,Maria Chin,https://whitewolf.fandom.com/wiki/Maria_Chin
37,Tremere,possibly 9th to 10th,,,Chrysanthemum,https://whitewolf.fandom.com/wiki/Chrysanthemum
38,Tremere,unknown,,,Charles Cipher,https://whitewolf.fandom.com/wiki/Charles_Cipher
39,Tremere Ghoul,,The Fates,,Natasha Clement,https://whitewolf.fandom.com/wiki/Natasha_Clement
40,Tremere,7th,Epistatia,,Paul Cordwood,https://whitewolf.fandom.com/wiki/Paul_Cordwood
41,Tremere,unknown,,"['Basil[1]', 'Several more']",Madeline Coventry,https://whitewolf.fandom.com/wiki/Madeline_Coventry
42,Tremere,8th,Percivax,Esoara,Curaferrum,https://whitewolf.fandom.com/wiki/Curaferrum
43,Tremere,8th,Antonio Calbullarshi,Dajan Siaka,Marie d'Richet,https://whitewolf.fandom.com/wiki/Marie_d%27Richet
44,Tremere,[],Unknown,Edward Bainbridge (1850),Elaine de Calinot,https://whitewolf.fandom.com/wiki/Elaine_de_Calinot
45,Tremere,"['7th (originally)', '6th (through diablerie)']",Maître Benoît,,Thomas de Cherbourg,https://whitewolf.fandom.com/wiki/Thomas_de_Cherbourg
46,Tremere,4th (Presumably by diablerie),,Tomás Marcello,Xavier de Cincao,https://whitewolf.fandom.com/wiki/Xavier_de_Cincao
47,Tremere,9th,Unknown,Aisling Sturbridge,Lucien de Maupassant,https://whitewolf.fandom.com/wiki/Lucien_de_Maupassant
48,Tremere,5th,Tremere Elder (possibly Meerlinda or Grimgroth),,John Dee (WOD),https://whitewolf.fandom.com/wiki/John_Dee_(WOD)
49,Tremere,7th,Eve Cavanant,,Luna Demian,https://whitewolf.fandom.com/wiki/Luna_Demian
50,Tremere,12th,,Masika St. John (1985),Anton Devereaux,https://whitewolf.fandom.com/wiki/Anton_Devereaux
51,Tremere (Telyavelic Tremere),unknown,Alferic,,Deverra,https://whitewolf.fandom.com/wiki/Deverra
52,Tremere,possibly 9th or 10th,Amelia Turpin,,Ayse Dhanial,https://whitewolf.fandom.com/wiki/Ayse_Dhanial
53,Tremere,unknown,,,Gabrielle di Righetti,https://whitewolf.fandom.com/wiki/Gabrielle_di_Righetti
