,Clan,Generation,Sire,Sire_Link,Name,Link,Childer
0,Cappadocian,5th,Lazarus,https://whitewolf.fandom.com/wiki/Lazarus,Angelique,https://whitewolf.fandom.com/wiki/Angelique,
1,Hecata,8th,,,Annika,https://whitewolf.fandom.com/wiki/Annika,
2,Hecata (Asano),11th,Heinrich König,https://whitewolf.fandom.com/wiki/Heinrich_K%C3%B6nig,Hiromitsu Asano,https://whitewolf.fandom.com/wiki/Hiromitsu_Asano,
3,Hecata,11th,,,Henry Banerjee,https://whitewolf.fandom.com/wiki/Henry_Banerjee,Torondo (ghoul)
4,Hecata (Harbingers of Skulls/Ashur),?,?,,Mordechai Ben-Nun,https://whitewolf.fandom.com/wiki/Mordechai_Ben-Nun,
5,Hecata (Harbingers of Ashur),"6th (formerly)
5th (after ritual)",Constancia,https://whitewolf.fandom.com/wiki/Constancia,Roger de Camden,https://whitewolf.fandom.com/wiki/Roger_de_Camden,"['María Asunción', 'Many childer']"
6,Cappadocian,3rd,Irad,https://whitewolf.fandom.com/wiki/Irad,Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,"['Caias', 'Japheth', 'Humuusa', 'Byzar/Mahatma', 'Lazarus', 'Augustus Giovanni']"
7,"['Hecata', 'Original clan unknown', 'Presumed Cappadocian']",unknown,unknown,,Capuchin,https://whitewolf.fandom.com/wiki/Capuchin,
8,Hecata (Cappadocian),5th,Japheth,https://whitewolf.fandom.com/wiki/Japheth,Constancia,https://whitewolf.fandom.com/wiki/Constancia,"['Ambrogino Giovanni', 'Lord Camden']"
9,unknown,,,,Florentina Conti,https://whitewolf.fandom.com/wiki/Florentina_Conti,
10,Hecata,,,,Cat Costello,https://whitewolf.fandom.com/wiki/Cat_Costello,
11,Hecata (Milliner),12th,Arthur Milliner,https://whitewolf.fandom.com/wiki/Arthur_Milliner,Christopher Deacon,https://whitewolf.fandom.com/wiki/Christopher_Deacon,
12,Hecata (Giovanni),11th,Unknown,,Chiara della Passiglia,https://whitewolf.fandom.com/wiki/Chiara_della_Passiglia,The Courier (player dependent)
13,Cappadocian (Lamia),9th,,,Dora,https://whitewolf.fandom.com/wiki/Dora,Raíz (1933)
14,Hecata (Samedi),12th,Dajuste,https://whitewolf.fandom.com/wiki/Dajuste,Bastian Ducasse,https://whitewolf.fandom.com/wiki/Bastian_Ducasse,
15,Hecata (Dunsirn),"7th (through diablerie)
8th (Presumably originally)",Archibald Dunsirn I,,Euan Dunsirn,https://whitewolf.fandom.com/wiki/Euan_Dunsirn,
16,Hecata (Cappadocian),"5th (Through diablerie)
6th (Originally)",Constancia,https://whitewolf.fandom.com/wiki/Constancia,Ambrogino Giovanni,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni,"['Lucretia Giovanni (1205)', 'Gillespi Giovanni', 'Baldesar Rossellini (1446)']"
17,Hecata (Giovanni),10th,,,Anja Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni,"['Christof Giovanni', 'Franziska Giovanni']"
18,Cappadocian / Giovanni,"['4th (originally)', '3rd (through diablerie)']",Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,Augustus Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni,"['Claudius Giovanni (1035 CE)', 'Ignazio Giovanni']"
19,Hecata (Giovanni),7th,Anna Maria Giovanni,https://whitewolf.fandom.com/wiki/Anna_Maria_Giovanni,Carmen Giovanni,https://whitewolf.fandom.com/wiki/Carmen_Giovanni,
20,Hecata (Giovanni),11th,Anja Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni,Christof Giovanni,https://whitewolf.fandom.com/wiki/Christof_Giovanni,
21,Hecata (Giovanni),,Tommaso Giovanni,https://whitewolf.fandom.com/wiki/Tommaso_Giovanni,Elena Giovanni,https://whitewolf.fandom.com/wiki/Elena_Giovanni,"['Anna (Ghoul)', 'Rosa (Ghoul)']"
22,Hecata (Giovanni),11th,Anja Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni,Franziska Giovanni,https://whitewolf.fandom.com/wiki/Franziska_Giovanni,
23,Hecata (Giovanni),9th,Fortunato Giovanni,https://whitewolf.fandom.com/wiki/Fortunato_Giovanni,Isabel Giovanni,https://whitewolf.fandom.com/wiki/Isabel_Giovanni,Primo Giovanni (2001)
24,Giovanni,10th,,,Ornella Giovanni,https://whitewolf.fandom.com/wiki/Ornella_Giovanni,
25,Hecata (Giovanni),,,,Tommaso Giovanni,https://whitewolf.fandom.com/wiki/Tommaso_Giovanni,Elena Giovanni
26,Giovanni,unknown,,,Ugolino Giovanni,https://whitewolf.fandom.com/wiki/Ugolino_Giovanni,
27,Hecata (Harbingers of Ashur),10th,Ilduara,,Holliday Hall,https://whitewolf.fandom.com/wiki/Holliday_Hall,
28,Cappadocian (Lamia),,,,Jinno Hatsumi,https://whitewolf.fandom.com/wiki/Jinno_Hatsumi,
29,Hecata (Rossellini),11th,Benito Rosselini,https://whitewolf.fandom.com/wiki/Benito_Rosselini,Jamilah Ianni,https://whitewolf.fandom.com/wiki/Jamilah_Ianni,
30,"['Cappadocian (formerly)', 'Harbingers of Skulls (formerly)', 'Hecata (current)']",6th,Malenchaenos,https://whitewolf.fandom.com/wiki/Malenchaenos,Khurshid,https://whitewolf.fandom.com/wiki/Khurshid,
31,Giovanni (Königs),10th,,,Heinrich König,https://whitewolf.fandom.com/wiki/Heinrich_K%C3%B6nig,Hiromitsu Asano (1956)
32,Hecata (Giovanni-König),12th,Aksel König,,Alek König,https://whitewolf.fandom.com/wiki/Alek_K%C3%B6nig,
33,Samedi,,,,Ghede L'Oraille,https://whitewolf.fandom.com/wiki/Ghede_L%27Oraille,
34,Cappadocian,4th,Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,Lazarus,https://whitewolf.fandom.com/wiki/Lazarus,"['Angelique (1st century)', 'Lamia', 'Baron Samedi (possibly)']"
35,Hecata (Harbingers of Ashur),9th,Zohreh,https://whitewolf.fandom.com/wiki/Zohreh,The Little Deaths,https://whitewolf.fandom.com/wiki/The_Little_Deaths,
36,"['Cappadocian (Giovanni) (formerly)', 'Hecata (Harbingers of Ashur)']",6th,Claudius Giovanni,https://whitewolf.fandom.com/wiki/Claudius_Giovanni,Marianna (VTM),https://whitewolf.fandom.com/wiki/Marianna_(VTM),
37,Giovanni (Milliner),11th,,,Arthur Milliner,https://whitewolf.fandom.com/wiki/Arthur_Milliner,Christopher Deacon (2002)
38,Hecata (Milliner),11th,,,Fenway Milliner,https://whitewolf.fandom.com/wiki/Fenway_Milliner,Heather Milliner
39,Hecata (Milliner),12th,Fenway Milliner,https://whitewolf.fandom.com/wiki/Fenway_Milliner,Heather Milliner,https://whitewolf.fandom.com/wiki/Heather_Milliner,
40,Giovanni (Milliner),9th,Andreas Giovanni,https://whitewolf.fandom.com/wiki/Andreas_Giovanni_(Boston),Jason Milliner,https://whitewolf.fandom.com/wiki/Jason_Milliner,
41,Giovanni (Milliner),,,,Lia Milliner,https://whitewolf.fandom.com/wiki/Lia_Milliner,
42,Hecata (Harbingers of Ashur),,,,Mora,https://whitewolf.fandom.com/wiki/Mora,
43,Nagaraja,,,,Ravinder Narula,https://whitewolf.fandom.com/wiki/Ravinder_Narula,
44,Giovanni/Hecata (Pisanob),6th,Unknown,,Pochtli,https://whitewolf.fandom.com/wiki/Pochtli,"Mireya Díaz y de Hierro (1929 CE)
Numerous"
45,Hecata (Cappadocian),10th,Garinol,https://whitewolf.fandom.com/wiki/Garinol,Serena Praha,https://whitewolf.fandom.com/wiki/Serena_Praha,
46,Hecata (Puttanesca),11th,Niklas Puttanesca,https://whitewolf.fandom.com/wiki/Niklas_Puttanesca,Jan Puttanesca,https://whitewolf.fandom.com/wiki/Jan_Puttanesca,
47,Hecata (Puttanesca),10th,,,Niklas Puttanesca,https://whitewolf.fandom.com/wiki/Niklas_Puttanesca,Jan Puttanesca (2010)
48,Hecata,13th,Unknown,,Ratkyd,https://whitewolf.fandom.com/wiki/Ratkyd,
49,Hecata (Lamia),10th,Dora,https://whitewolf.fandom.com/wiki/Dora,Raíz,https://whitewolf.fandom.com/wiki/Ra%C3%ADz,
50,Hecata (Nasyon san an),5th,"['Troglodytia (Possibly under the alias of Queen Mother)', 'Lazarus (presumably)']",https://whitewolf.fandom.com/wiki/Troglodytia,Doc San,https://whitewolf.fandom.com/wiki/Doc_San,"['Morlock', 'Genina (17th century)', 'Jorge de La Muerte (1732)', 'Reg Driscoll', 'Jack Dawson (19th century)', 'Brigette (Presumably)']"
51,,14th,Unknown Woman,,Jürgen Schweigger,https://whitewolf.fandom.com/wiki/J%C3%BCrgen_Schweigger,
52,Harbingers of Skulls/Harbingers of Ashur (Supposedly),5th,Japheth,https://whitewolf.fandom.com/wiki/Japheth,Unre,https://whitewolf.fandom.com/wiki/Unre,
53,Hecata (Giovanni),13th,Peter St. John,,Anoush Vardanian,https://whitewolf.fandom.com/wiki/Anoush_Vardanian,
54,Nosferatu or Hecata,12th,,,Dexter Wilkins,https://whitewolf.fandom.com/wiki/Dexter_Wilkins,
55,Hecata,,,,Diya Yadav,https://whitewolf.fandom.com/wiki/Diya_Yadav,
56,Caitiff,9th,Unknown Giovanni,https://whitewolf.fandom.com/wiki/Giovanni,Zal,https://whitewolf.fandom.com/wiki/Zal,
57,Cappadocian,8th,,,Zohreh,https://whitewolf.fandom.com/wiki/Zohreh,The Little Deaths
