,Clan,Generation,Childer,Name,Link,Sire,Sire_Link
0,Lasombra,6th,Suleiman ibn Abdullah (299 CE),Abdullah,https://whitewolf.fandom.com/wiki/Abdullah,,
1,Lasombra,,,Abraham (Niebla),https://whitewolf.fandom.com/wiki/Abraham_(Niebla),,
2,Lasombra,10th,Andrew Emory (1991),Demba Makemba Adoula,https://whitewolf.fandom.com/wiki/Demba_Makemba_Adoula,Elias Bruylant,https://whitewolf.fandom.com/wiki/Elias_Bruylant
3,Lasombra,8th,,Adrianna,https://whitewolf.fandom.com/wiki/Adrianna,Alfonzo of Venice,https://whitewolf.fandom.com/wiki/Alfonzo_of_Venice
4,Lasombra,6th,Elieser de Polanco (1031),Hector Aguilera,https://whitewolf.fandom.com/wiki/Hector_Aguilera,,
5,Lasombra,8th,Christobal,Munther al-Aswad,https://whitewolf.fandom.com/wiki/Munther_al-Aswad,Fatimah al-Lam'a,https://whitewolf.fandom.com/wiki/Fatimah_al-Lam%27a
6,Lasombra antitribu,7th,Munther al-Aswad (1436),Fatimah al-Lam'a,https://whitewolf.fandom.com/wiki/Fatimah_al-Lam%27a,Sharif al-Lam'a,https://whitewolf.fandom.com/wiki/Sharif_al-Lam%27a
7,Lasombra,7th,,Mirri al-Lam'a,https://whitewolf.fandom.com/wiki/Mirri_al-Lam%27a,,
8,Lasombra,7th,,Mirri al-Lam’a,https://whitewolf.fandom.com/wiki/Mirri_al-Lam%E2%80%99a,,
9,Lasombra,6th,Fatimah al-Lam'a (970),Sharif al-Lam'a,https://whitewolf.fandom.com/wiki/Sharif_al-Lam%27a,,
10,Lasombra,9th,Henry Taylor (1978),Mohammed Al-Muthlim,https://whitewolf.fandom.com/wiki/Mohammed_Al-Muthlim,Tarantine,https://whitewolf.fandom.com/wiki/Tarantine
11,Lasombra,,,Rinaldo Albizzi,https://whitewolf.fandom.com/wiki/Rinaldo_Albizzi,,
12,Lasombra,7th,"['Juliano', 'Adrianna']",Alfonzo of Venice,https://whitewolf.fandom.com/wiki/Alfonzo_of_Venice,Narses,https://whitewolf.fandom.com/wiki/Narses
13,Lasombra,"['7th (originally)', '6th (through diablerie)']",Don Alonzo de Vargas,Guilelmo Aliprando,https://whitewolf.fandom.com/wiki/Guilelmo_Aliprando,Narses,https://whitewolf.fandom.com/wiki/Narses
14,Lasombra,11th,Virginie (1989),Alison,https://whitewolf.fandom.com/wiki/Alison,,
15,Lasombra,7th,Lisette Illuminada (960),Juan Antonio Ramierz y Alvarez de Santiago,https://whitewolf.fandom.com/wiki/Juan_Antonio_Ramierz_y_Alvarez_de_Santiago,,
16,Lasombra,11th,,Domenica Amato,https://whitewolf.fandom.com/wiki/Domenica_Amato,Ramiro Camondo,https://whitewolf.fandom.com/wiki/Ramiro_Camondo
17,Lasombra,unknown,,Angelica,https://whitewolf.fandom.com/wiki/Angelica,,
18,Lasombra,6th,Nabatean (747 CE),Antipater,https://whitewolf.fandom.com/wiki/Antipater,,
19,Lasombra,,,Antoine (Lasombra),https://whitewolf.fandom.com/wiki/Antoine_(Lasombra),,
20,Lasombra,5th,Foulques,Livia Antonia,https://whitewolf.fandom.com/wiki/Livia_Antonia,,
21,Lasombra,?,,Apolleon the Traveler,https://whitewolf.fandom.com/wiki/Apolleon_the_Traveler,Unknown,
22,Lasombra Ghoul,,,Asima,https://whitewolf.fandom.com/wiki/Asima,,
23,Lasombra,unknown,,Aurora,https://whitewolf.fandom.com/wiki/Aurora,,
24,Lasombra,,,Averros,https://whitewolf.fandom.com/wiki/Averros,,
25,Lasombra,8th,,Badr (Lasombra),https://whitewolf.fandom.com/wiki/Badr_(Lasombra),Marcos,https://whitewolf.fandom.com/wiki/Marcos_(Lasombra)
26,Lasombra,unknown,,Balthazar (Lasombra),https://whitewolf.fandom.com/wiki/Balthazar_(Lasombra),,
27,Lasombra,unknown,,Banjoko,https://whitewolf.fandom.com/wiki/Banjoko,Unknown,
28,Lasombra,,,Gabriel Baruch,https://whitewolf.fandom.com/wiki/Gabriel_Baruch,,
29,Lasombra,8th,,Michalis Basaras,https://whitewolf.fandom.com/wiki/Michalis_Basaras,Giangaleazzo,https://whitewolf.fandom.com/wiki/Giangaleazzo
30,Lasombra,7th,,Basilio the Elder,https://whitewolf.fandom.com/wiki/Basilio_the_Elder,Erasmo Casimiro Alonso de Curcio,https://whitewolf.fandom.com/wiki/Erasmo_Casimiro_Alonso_de_Curcio
31,Lasombra,unknown,Don Medina Sidonia (1615),Dona Beatriz,https://whitewolf.fandom.com/wiki/Dona_Beatriz,,
32,Lasombra antitribu,8th,Zadkiel ben Aron (1749),Aron ben Aretz,https://whitewolf.fandom.com/wiki/Aron_ben_Aretz,,
33,Lasombra,9th,,Zadkiel ben Aron,https://whitewolf.fandom.com/wiki/Zadkiel_ben_Aron,Aron ben Aretz,https://whitewolf.fandom.com/wiki/Aron_ben_Aretz
34,Lasombra,,Milo (1977),Ashiqa bint Jifri,https://whitewolf.fandom.com/wiki/Ashiqa_bint_Jifri,,
35,Lasombra,8th,,Black Wallace,https://whitewolf.fandom.com/wiki/Black_Wallace,Lord Vauxhall,https://whitewolf.fandom.com/wiki/Vauxhall
36,Lasombra antitribu,7th,,Cynthia Black,https://whitewolf.fandom.com/wiki/Cynthia_Black,Monica Black,https://whitewolf.fandom.com/wiki/Monica_Black
37,Lasombra,,,Luther Black,https://whitewolf.fandom.com/wiki/Luther_Black,unknown,
38,Lasombra antitribu,6th,Cynthia Black (1973),Monica Black,https://whitewolf.fandom.com/wiki/Monica_Black,Marcus Vitel,https://whitewolf.fandom.com/wiki/Marcus_Vitel
39,Lasombra,4th,Several,Blue Eye,https://whitewolf.fandom.com/wiki/Blue_Eye,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
40,Lasombra,Unknown,Sebastian,Borges,https://whitewolf.fandom.com/wiki/Borges,,
41,Lasombra,4th,"['Marcellus Rufus (112 CE)', 'Geoffrey of Richmond', 'Tercio Bravo']",Boukephos,https://whitewolf.fandom.com/wiki/Boukephos,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
42,Lasombra,5th,Leopold Valdemar,Tercio Bravo,https://whitewolf.fandom.com/wiki/Tercio_Bravo,Boukephos,https://whitewolf.fandom.com/wiki/Boukephos
43,Lasombra,5th,,Bride of Night,https://whitewolf.fandom.com/wiki/Bride_of_Night,unknown,
44,Lasombra,9th,Demba Makemba Adoula (1860s),Elias Bruylant,https://whitewolf.fandom.com/wiki/Elias_Bruylant,,
45,Lasombra,10th,,Cameron (Lasombra),https://whitewolf.fandom.com/wiki/Cameron_(Lasombra),Molita,https://whitewolf.fandom.com/wiki/Molita
46,Lasombra,,,Camille,https://whitewolf.fandom.com/wiki/Camille,,
47,Lasombra,10th,Domenica Amato (2018),Ramiro Camondo,https://whitewolf.fandom.com/wiki/Ramiro_Camondo,,
48,Lasombra,possibly 7th,,Blasio Cancherllo,https://whitewolf.fandom.com/wiki/Blasio_Cancherllo,possibly Narses,https://whitewolf.fandom.com/wiki/Narses
49,Lasombra,,Julia Sowinski,Caren,https://whitewolf.fandom.com/wiki/Caren,,
50,Lasombra,7th,,Magdalena Castelucci Borcellino,https://whitewolf.fandom.com/wiki/Magdalena_Castelucci_Borcellino,Narses,https://whitewolf.fandom.com/wiki/Narses
51,Lasombra,unknown,,Omar y Sion Cedeño,https://whitewolf.fandom.com/wiki/Omar_y_Sion_Cede%C3%B1o,,
52,Lasombra,unknown,,Dino Cerutti,https://whitewolf.fandom.com/wiki/Dino_Cerutti,,
53,Lasombra,unknown,,Vince Cerutti,https://whitewolf.fandom.com/wiki/Vince_Cerutti,,
54,Lasombra,10th,,José Chavez,https://whitewolf.fandom.com/wiki/Jos%C3%A9_Chavez,,
55,Lasombra,7th,Charles Delmare (1236 CE),Chlodobert the Lame,https://whitewolf.fandom.com/wiki/Chlodobert_the_Lame,Unknown,
56,Lasombra,9th,,Christobal,https://whitewolf.fandom.com/wiki/Christobal,Munther al-Aswad,https://whitewolf.fandom.com/wiki/Munther_al-Aswad
57,Lasombra,5th,Silvester de Ruiz (732 CE,Cleobolus,https://whitewolf.fandom.com/wiki/Cleobolus,Karotos,https://whitewolf.fandom.com/wiki/Karotos
58,Lasombra,Likely 12th or 13th,,Coco,https://whitewolf.fandom.com/wiki/Coco,Renato Cristoval,https://whitewolf.fandom.com/wiki/Renato_Cristoval
59,Lasombra,,,Cornelia,https://whitewolf.fandom.com/wiki/Cornelia,,
60,Lasombra,,,Appius Claudius Corvus,https://whitewolf.fandom.com/wiki/Appius_Claudius_Corvus,,
61,Lasombra,Likely 11th or 12th,Coco,Renato Cristoval,https://whitewolf.fandom.com/wiki/Renato_Cristoval,,
62,Xi Dundu,,,Cécile,https://whitewolf.fandom.com/wiki/C%C3%A9cile,,
63,Lasombra,8th,,Maria D'Agostino,https://whitewolf.fandom.com/wiki/Maria_D%27Agostino,Pietro,https://whitewolf.fandom.com/wiki/Pietro
64,Lasombra,7th,,Fulgencio d'Idalia,https://whitewolf.fandom.com/wiki/Fulgencio_d%27Idalia,Ambrosio Luis Monçada,https://whitewolf.fandom.com/wiki/Ambrosio_Luis_Mon%C3%A7ada
65,Lasombra,7th,Matteo (1206),Lucita de Aragon,https://whitewolf.fandom.com/wiki/Lucita_de_Aragon,Ambrosio Luis Monçada,https://whitewolf.fandom.com/wiki/Ambrosio_Luis_Mon%C3%A7ada
66,Lasombra,6th,Francisco Domingo de Polonia,Antón de Concepción,https://whitewolf.fandom.com/wiki/Ant%C3%B3n_de_Concepci%C3%B3n,Unknown,
67,Lasombra,11th,,Caridad de Flores,https://whitewolf.fandom.com/wiki/Caridad_de_Flores,Donna Fería,
68,Lasombra,7th,,Elieser de Polanco,https://whitewolf.fandom.com/wiki/Elieser_de_Polanco,Hector Aguilera,https://whitewolf.fandom.com/wiki/Hector_Aguilera
69,Lasombra,7th,Antonio Delgado,Francisco Domingo de Polonia,https://whitewolf.fandom.com/wiki/Francisco_Domingo_de_Polonia,Antón de Concepción,https://whitewolf.fandom.com/wiki/Ant%C3%B3n_de_Concepci%C3%B3n
70,Lasombra,7th,Alfonso Palacios (960),Fernando de Rincón,https://whitewolf.fandom.com/wiki/Fernando_de_Rinc%C3%B3n,,
71,Lasombra,8th,,Reinaldo de Rubio,https://whitewolf.fandom.com/wiki/Reinaldo_de_Rubio,,
72,Lasombra,6th,"Ambrosio Luis Monçada (1153 CE)
Navarre (997 CE)",Silvester de Ruiz,https://whitewolf.fandom.com/wiki/Silvester_de_Ruiz,Cleobolus,https://whitewolf.fandom.com/wiki/Cleobolus
