,Clan,Generation,Sire,Sire_Link,Name,Link,Childer
0,Followers of Set,5th (Mechanically function as 8th),Nefertiti,https://whitewolf.fandom.com/wiki/Nefertiti,Aabbt Kindred,https://whitewolf.fandom.com/wiki/Aabbt_Kindred,
1,Ministry,7th,,,Abu Ruhadze,https://whitewolf.fandom.com/wiki/Abu_Ruhadze,Hesha Ruhadze (late 17th century)
2,Followers of Set,unknown,unknown,,Acthoes,https://whitewolf.fandom.com/wiki/Acthoes,
3,Followers of Set,11th,Sabine,https://whitewolf.fandom.com/wiki/Sabine,Andreas Aegyptus,https://whitewolf.fandom.com/wiki/Andreas_Aegyptus,"Dehaan (adopted)
Aluc Romas de Leon"
4,Followers of Set,8th,,,Akh-Netep,https://whitewolf.fandom.com/wiki/Akh-Netep,Luqman (871)
5,Followers of Set,9th,Akh-Netep,https://whitewolf.fandom.com/wiki/Akh-Netep,Luqman ibn Wahid al Basim,https://whitewolf.fandom.com/wiki/Luqman_ibn_Wahid_al_Basim,
6,Followers of Set,,,,Izzat al-Khunzir,https://whitewolf.fandom.com/wiki/Izzat_al-Khunzir,
7,Ministry,possibly 7th to 9th,,,Faruq Abd al-Qadir,https://whitewolf.fandom.com/wiki/Faruq_Abd_al-Qadir,
8,Setite,possibly 9th or 10th,,,Shahara al-Rashwa,https://whitewolf.fandom.com/wiki/Shahara_al-Rashwa,
9,Follower of Set,7th,Khay'tall,https://whitewolf.fandom.com/wiki/Khay%27tall,Benedict Alphonso,https://whitewolf.fandom.com/wiki/Benedict_Alphonso,
10,Follower of Set,6th,Unknown,,Amisa,https://whitewolf.fandom.com/wiki/Amisa,
11,Followers of Set,8th,Sutekh-Neferu,,Ankh-Sen-Sutekh,https://whitewolf.fandom.com/wiki/Ankh-Sen-Sutekh,
12,Ministry,8th,Sirian,https://whitewolf.fandom.com/wiki/Sirian,Halim Bey,https://whitewolf.fandom.com/wiki/Halim_Bey,"['Danvers', 'Patricia', 'Other Nameless Child']"
13,Serpents of the Light,10th,unknown,,Black Lotus,https://whitewolf.fandom.com/wiki/Black_Lotus,
14,Setites,8th,,,Farid Borundi,https://whitewolf.fandom.com/wiki/Farid_Borundi,Shirkol (1939)
15,Ministry,11th,,,Brynjar,https://whitewolf.fandom.com/wiki/Brynjar,Svein Fortinbras (1991)
16,Followers of Set,unknown,Shemti,,Alessandro Cagliostro,https://whitewolf.fandom.com/wiki/Alessandro_Cagliostro,
17,Followers of Set,8th,,,Dawn Cavanaugh,https://whitewolf.fandom.com/wiki/Dawn_Cavanaugh,
18,Follower of Set,unknown,Unknown,,Angelo Cavaradossi,https://whitewolf.fandom.com/wiki/Angelo_Cavaradossi,
19,Ministry,11th,,,Edouard Alice Rivière-Cladel Chambet,https://whitewolf.fandom.com/wiki/Edouard_Alice_Rivi%C3%A8re-Cladel_Chambet,The Courier (player dependent)
20,Followers of Set,10th,Ras Michael,https://whitewolf.fandom.com/wiki/Ras_Michael,Steven Clarke,https://whitewolf.fandom.com/wiki/Steven_Clarke,
21,Tlacique (Followers of Set),10th,Unknown,,Ezequiel Coyotl,https://whitewolf.fandom.com/wiki/Ezequiel_Coyotl,
22,Followers of Set,11th[1],unknown,,Marriot D'Urban,https://whitewolf.fandom.com/wiki/Marriot_D%27Urban,
23,Followers of Set,8th,Umar,https://whitewolf.fandom.com/wiki/Umar,Dauud,https://whitewolf.fandom.com/wiki/Dauud,
24,Followers of Set,10th,Aimery de Versey,,Bianca de Genève,https://whitewolf.fandom.com/wiki/Bianca_de_Gen%C3%A8ve,
25,Setite,9th,Makareta-sherit,,Jean-Batiste de Montrond,https://whitewolf.fandom.com/wiki/Jean-Batiste_de_Montrond,
26,Follower of Set,8th,"['Meribah (actual)', 'Ankhesenaten (adopted)']",https://whitewolf.fandom.com/wiki/Meribah,Dehaan,https://whitewolf.fandom.com/wiki/Dehaan,
27,The Ministry,12th,Celine Chevalier,https://whitewolf.fandom.com/wiki/Celine_Chevalier,Aristide Demiana,https://whitewolf.fandom.com/wiki/Aristide_Demiana,
28,Followers of Set,9th,Hesha Ruhadze,https://whitewolf.fandom.com/wiki/Hesha_Ruhadze,Elizabeth Dimitros,https://whitewolf.fandom.com/wiki/Elizabeth_Dimitros,
29,Ministry,possibly 7th to 9th,,,Nonu Dis,https://whitewolf.fandom.com/wiki/Nonu_Dis,
30,Ministry,,,,Djedefre,https://whitewolf.fandom.com/wiki/Djedefre,
31,Followers of Set,10th,Achmed al Sutekh,,Jeremiah duBois,https://whitewolf.fandom.com/wiki/Jeremiah_duBois,
32,Serpents of the Light,"['8th', '9th (originally)']",Sangris the Serpent,https://whitewolf.fandom.com/wiki/Sangris_the_Serpent,Ezekiel,https://whitewolf.fandom.com/wiki/Ezekiel,
33,Followers of Set,Either 7th or 6th (see below),Ghede,https://whitewolf.fandom.com/wiki/Ghede,Ezuli,https://whitewolf.fandom.com/wiki/Ezuli,Manon (1953)
34,Followers of Set,12th,Brynjar,https://whitewolf.fandom.com/wiki/Brynjar,Svein Fortinbras,https://whitewolf.fandom.com/wiki/Svein_Fortinbras,
35,Ministry,possibly 11th to 13th,,,Milton Fox,https://whitewolf.fandom.com/wiki/Milton_Fox,
36,Ministry,9th,,,Marcus Gallowglass,https://whitewolf.fandom.com/wiki/Marcus_Gallowglass,
37,Follower of Set,,,,Ganglot,https://whitewolf.fandom.com/wiki/Ganglot,
38,Followers of Set,6th,Unknown,,Ghede,https://whitewolf.fandom.com/wiki/Ghede,Ezuli (1290 CE)
39,Followers of Set (Warrior Setites),7th,Unknown,,Glycon,https://whitewolf.fandom.com/wiki/Glycon,
40,Ministry,10th,,,Goolooboo,https://whitewolf.fandom.com/wiki/Goolooboo,Marcel (1974)
41,Ministry,,,,Allison Hall,https://whitewolf.fandom.com/wiki/Allison_Hall,
42,Setite Ghoul,,Maria Kenyon,https://whitewolf.fandom.com/wiki/Maria_Kenyon,Mr. Hayes,https://whitewolf.fandom.com/wiki/Mr._Hayes,
43,Followers of Set,8th,Arnulf Jörmungandrsson,https://whitewolf.fandom.com/wiki/Arnulf_J%C3%B6rmungandrsson,Valdis Hel-Blár,https://whitewolf.fandom.com/wiki/Valdis_Hel-Bl%C3%A1r,
44,Followers of Set,8th (possibly)[1],Unknown,,Augusta Holford,https://whitewolf.fandom.com/wiki/Augusta_Holford,Jean-Michel d'Ormonde (possibly)
45,Followers of Set,7th,,,Qaboos ibn Achmed,https://whitewolf.fandom.com/wiki/Qaboos_ibn_Achmed,Salah ibn Qaboos (1005 CE)
46,Followers of Set,8th,Qaboos ibn Achmed,https://whitewolf.fandom.com/wiki/Qaboos_ibn_Achmed,Salah ibn Qaboos,https://whitewolf.fandom.com/wiki/Salah_ibn_Qaboos,
47,Followers of Set,6th,Unknown,,Intisar,https://whitewolf.fandom.com/wiki/Intisar,
48,Followers of Set,5th,Seterpenre,https://whitewolf.fandom.com/wiki/Seterpenre,Isenkhebe,https://whitewolf.fandom.com/wiki/Isenkhebe,"Pentweret (c. 180 BCE)
Several"
49,Tremere or Ministry,10th,,,Caroline Janson,https://whitewolf.fandom.com/wiki/Caroline_Janson,
50,Follower of Set,5th,Unknown,,Jocalo,https://whitewolf.fandom.com/wiki/Jocalo,Mara
51,Followers of Set,11th,Sisocharis,,Djoser Jones,https://whitewolf.fandom.com/wiki/Djoser_Jones,
52,Followers of Set,7th,,,Arnulf Jörmungandrsson,https://whitewolf.fandom.com/wiki/Arnulf_J%C3%B6rmungandrsson,Valdis Hel-Blár
