,Clan,Generation,Sire,Sire_Link,Childer,Name,Link
0,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Likely several,Abraxes,https://whitewolf.fandom.com/wiki/Abraxes
1,"""The Hidden Clan""",3rd,Zillah,https://whitewolf.fandom.com/wiki/Zillah,"['Abraxes', 'Azazel', 'Baba Yaga', 'Echidna', 'Gayomart', 'Gorgo', 'Illuyankas', 'The Matriarch', 'Melachoate', 'Nuckalavee', 'Vasilisa', 'Yima']",Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard
2,Nosferatu,6th,,,Adze (1822),Adahy,https://whitewolf.fandom.com/wiki/Adahy
3,Nosferatu,7th,Adahy,https://whitewolf.fandom.com/wiki/Adahy,,Adze,https://whitewolf.fandom.com/wiki/Adze
4,Nosferatu antitribu,,,,,Aeron (VTM),https://whitewolf.fandom.com/wiki/Aeron_(VTM)
5,Nosferatu,11 (Speculation),,,,Agrippina,https://whitewolf.fandom.com/wiki/Agrippina
6,Nosferatu,"['7th (originally)', '6th (through diablerie)']",Bhallaire,https://whitewolf.fandom.com/wiki/Bhallaire,,Aine,https://whitewolf.fandom.com/wiki/Aine
7,Nosferatu,8th,Umm al-Mawt,https://whitewolf.fandom.com/wiki/Umm_al-Mawt,Petra,Shagaret al-Durr,https://whitewolf.fandom.com/wiki/Shagaret_al-Durr
8,Nosferatu,7th,Unknown,,Shagaret al-Durr,Umm al-Mawt,https://whitewolf.fandom.com/wiki/Umm_al-Mawt
9,Nosferatu,6th,Tarique,https://whitewolf.fandom.com/wiki/Tarique,Ibn Ja'far (1193 CE),Ja'far al-Medinat,https://whitewolf.fandom.com/wiki/Ja%27far_al-Medinat
10,Nosferatu,6th,Alexius,https://whitewolf.fandom.com/wiki/Alexius,"['Edith Beaubien (1895)', 'Jurgis Rudkus (1910)', 'Peter Walenski (1950)', 'Tammy Walenski (1950)', 'Elzbieta Jurofsky (1989)']",Khalid al-Rashid,https://whitewolf.fandom.com/wiki/Khalid_al-Rashid
11,Nosferatu,8th,Jacob Durgal,https://whitewolf.fandom.com/wiki/Jacob_Durgal,,Alberich,https://whitewolf.fandom.com/wiki/Alberich
12,Nosferatu,5th,Matriarch (Possibly),https://whitewolf.fandom.com/wiki/Medusa_(VTM),"['Khalid al-Rashid (1191 CE)', 'Strohmann (1283 CE)']",Alexius,https://whitewolf.fandom.com/wiki/Alexius
13,Nosferatu,7th (Speculation),,,,Amadeo,https://whitewolf.fandom.com/wiki/Amadeo
14,Nosferatu,10th,,,Wolfgang (1969),Amelia (Nosferatu),https://whitewolf.fandom.com/wiki/Amelia_(Nosferatu)
15,Nosferatu,Unknown,,,,Anachriss,https://whitewolf.fandom.com/wiki/Anachriss
16,Nosferatu,possibly 7th to 9th,,,,Oskar Anasov,https://whitewolf.fandom.com/wiki/Oskar_Anasov
